"primer","fit","r.squared","F.statistic","df","df.residual","p.value","p.val_format"
"ybbw",,0.9980186219141969,5540.691561956928,1,11,3.199423151625954e-16,"3.20e-16"
"PA_marta",,0.9941040731056081,2023.3033907890283,1,12,9.50002654993088e-15,"9.50e-15"
"bac_16S",,0.9934535380490359,2883.331082395128,1,19,3.2374620298203904e-22,"3.24e-22"
