"term","npar","logLik","AIC","LRT","df","p.value","sig","p.value.format"
"<none>",9,-60.313,138.627,NA,NA,NA,"","      NA"
"(1 | date)",8,-65.179,146.358,9.732,1,0.002,"**","1.81e-03"
