species,sample_type,mean_cfu_100mL,sd_cfu_100mL,log_mean_cfu_100mL
*E. coli*,effluent,4983.333333333333,846.0693430998037,3.697519937940786
*E. coli*,culture,923333333333.3334,1108166654133.4536,11.965358514344786
*E. coli*,effluent spiked,14500000000,21220508947.713764,10.161368002234974
*E. coli*,ozone,353333.3333333333,400790.8847932215,5.548184610545108
*P. aeruginosa*,effluent,805,1208.1080249712772,2.9057958803678687
*P. aeruginosa*,culture,410000000000,115325625946.70795,11.612783856719735
*P. aeruginosa*,effluent spiked,2866666666.6666665,416333199.89322656,9.457377196523906
*P. aeruginosa*,ozone,75750000,20152543.263816595,7.879382637174342
